Speaker Frequency Response @9500Hz,0.000097
End,0.000016
For,0.000113
Speaker Frequency Response @9750Hz,0.000104
End,0.000017
For,0.000113
Speaker Frequency Response @10000Hz,0.000099
End,0.000016
For,0.000113
Speaker Frequency Response @10300Hz,0.000098
End,0.000017
For,0.000113
Speaker Frequency Response @10600Hz,0.000097
End,0.000017
For,0.000113
Speaker Frequency Response @10900Hz,0.000097
End,0.000016
For,0.000114
Speaker Frequency Response @11200Hz,0.000098
End,0.000017
For,0.000119
Speaker Frequency Response @11500Hz,0.000098
End,0.000017
For,0.000116
Speaker Frequency Response @11800Hz,0.000098
End,0.000017
For,0.000113
Speaker Frequency Response @12200Hz,0.000097
End,0.000016
For,0.000113
Speaker Frequency Response @12500Hz,0.000097
End,0.000017
For,0.000114
Speaker Frequency Response @12800Hz,0.000097
End,0.000016
For,0.000122
Speaker Frequency Response @13200Hz,0.000098
End,0.000017
For,0.000113
Speaker Frequency Response @13600Hz,0.000097
End,0.000016
For,0.000128
Speaker Frequency Response @14000Hz,0.000097
End,0.000016
For,0.000113
Speaker Frequency Response @14500Hz,0.000098
End,0.000017
For,0.000113
Speaker Frequency Response @15000Hz,0.000097
End,0.000016
For,0.000113
Speaker Frequency Response @15500Hz,0.000098
End,0.000016
For,0.000113
Speaker Frequency Response @16000Hz,0.000105
End,0.000017
For,0.00012
Speaker Frequency Response @16500Hz,0.000097
End,0.000017
For,0.000113
Speaker Frequency Response @17000Hz,0.000097
End,0.000017
For,0.000114
Speaker Frequency Response @17500Hz,0.000097
End,0.000017
For,0.000114
Speaker Frequency Response @18000Hz,0.000097
End,0.000016
For,0.000113
Speaker Frequency Response @18500Hz,0.000097
End,0.000016
For,0.000113
Speaker Frequency Response @19000Hz,0.000097
End,0.000016
For,0.000115
Speaker Frequency Response @19500Hz,0.000097
End,0.000016
For,0.000113
Speaker Frequency Response @20000Hz,0.000099
End,0.000016
For,0.000121
Speaker THD Value @20Hz,0.000106
End,0.000018
For,0.000115
Speaker THD Value @20.6Hz,0.000096
End,0.000017
For,0.000113
Speaker THD Value @21.2Hz,0.000095
End,0.000016
For,0.000113
